2015-04-21 16:27:00,388 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugin:jar:3.2 is missing, no dependency information available
2015-04-21 16:27:00,399 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugin:jar:3.2 is missing, no dependency information available
2015-04-21 16:27:00,407 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example.rest.calculators:CalculatorService:1.0-SNAPSHOT @ C:\Workspaces\RestWebservicesWorkspace\CalculatorService\pom.xml.
2015-04-21 16:27:01,239 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven/com/sun/jersey/jersey-server/1.19/jersey-server-1.19.pom
2015-04-21 16:27:01,243 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.jersey:jersey-server:jar:1.19 is missing, no dependency information available
2015-04-21 16:27:02,035 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven/com/sun/jersey/jersey-core/1.19/jersey-core-1.19.pom
2015-04-21 16:27:02,044 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.jersey:jersey-core:jar:1.19 is missing, no dependency information available
2015-04-21 16:27:02,827 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven/com/sun/jersey/jersey-servlet/1.19/jersey-servlet-1.19.pom
2015-04-21 16:27:02,830 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.jersey:jersey-servlet:jar:1.19 is missing, no dependency information available
2015-04-21 16:27:03,638 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven/com/sun/jersey/jersey-server/1.19/jersey-server-1.19.jar
2015-04-21 16:27:04,300 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven/com/sun/jersey/jersey-core/1.19/jersey-core-1.19.jar
2015-04-21 16:27:05,029 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven/com/sun/jersey/jersey-servlet/1.19/jersey-servlet-1.19.jar
2015-04-21 16:27:05,082 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugin:jar:2.5.1 is missing, no dependency information available
2015-04-21 16:27:05,155 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugin:jar:3.2 is missing, no dependency information available
2015-04-21 16:27:05,167 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugin:jar:3.2 is missing, no dependency information available
2015-04-21 16:27:05,170 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-compiler-plugin:3.2: Plugin org.apache.maven.plugins:maven-compiler-plugin:3.2 or one of its dependencies could not be resolved: Failure to find org.apache.maven.plugins:maven-compiler-plugin:jar:3.2 in https://repo1.maven.org/maven/ was cached in the local repository, resolution will not be reattempted until the update interval of central has elapsed or updates are forced
2015-04-21 16:27:05,174 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugin:jar:3.2 is missing, no dependency information available
2015-04-21 16:27:05,177 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.apache.maven.plugins:maven-compiler-plugin:3.2: Plugin org.apache.maven.plugins:maven-compiler-plugin:3.2 or one of its dependencies could not be resolved: Failure to find org.apache.maven.plugins:maven-compiler-plugin:jar:3.2 in https://repo1.maven.org/maven/ was cached in the local repository, resolution will not be reattempted until the update interval of central has elapsed or updates are forced
2015-04-21 16:27:05,185 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.jersey:jersey-server:jar:1.19 is missing, no dependency information available
2015-04-21 16:27:05,188 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.jersey:jersey-core:jar:1.19 is missing, no dependency information available
2015-04-21 16:27:05,191 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.sun.jersey:jersey-servlet:jar:1.19 is missing, no dependency information available
